IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,COUNT_N
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,170,Colombia,YEAR,2017,3391009
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,170,Colombia,YEAR,2010,4921126
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,170,Colombia,YEAR,2012,4722872
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,170,Colombia,YEAR,2014,4410048
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,170,Colombia,YEAR,2016,3761361
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,170,Colombia,YEAR,2021,3272079
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,170,Colombia,YEAR,2011,4924261
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,170,Colombia,YEAR,2018,3350646
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,170,Colombia,YEAR,2019,3186736
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,170,Colombia,YEAR,2020,3237824
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,170,Colombia,YEAR,2013,4722564
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,170,Colombia,YEAR,2015,3846506
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,170,Colombia,YEAR,2022,3294657
