IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_10000_N
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2018,1.625
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2001,0.673
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2011,1.138
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2014,1.326
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2016,1.493
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2020,1.773
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2002,0.683
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2005,0.804
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2006,0.855
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2003,0.716
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2007,0.914
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2010,1.087
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2012,1.213
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2008,0.969
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2019,1.698
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2004,0.748
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2009,1.026
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2013,1.262
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2015,1.408
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2017,1.542
45CA7C8,Density of pharmacists,COUNTRY,170,Colombia,YEAR,2021,1.852
